ທະວີບອາຟະລິກ	アフリカ
Mikoyan MiG-29	MiG-29 (航空機)
ການພັດທະນາແບບຍືນຍົງ	持続可能な開発
ອ່າວໄທ	タイランド湾
ການວາງແຜນຊັບພະຍາກອນຂອງອົງກອນ	企業資源計画
ນິກາຍເຖຣະວາດ	上座部仏教
ໂທລະພາບຄວາມລະອຽດສູງ	高精細度テレビジョン放送
ທຸງຊາດໄທ	タイの国旗
ພະຍຸໄຕ້ຝຸ່ນ	台風
ດຸນການຊຳລະ	国際収支統計
ລະດູແລ້ງ	乾季
Phu Quoc	フーコック島
ປະເທດລາວໃນໂອລິມປິກລະດູຮ້ອນ 2008	北京オリンピックラオス選手団
ວິກິພີເດຍ:ຂໍໃຫ້ຂະຫຍາຍ	Help:ページの編集
Leopard 2	レオパルト2
ວົງຜື	カヤツリグサ科
ເດຈາວູ	既視感
ເຄື່ອງຮັບວິທະຍຸ	受信機
Eurocopter Tiger	ティーガー (航空機)
ເສດຖະກິດ	経済
ເອໂຄໂນເມທຣິກ	計量経済学
ລາຄາ	価格
ມະຫາວິທະຍາໄລເອແດມບວກ	エディンバラ大学
ທາງລົດໄຟ	線路 (鉄道)
ສຳປະສິດຈິນີ	ジニ係数
ກາຕະລີນແຫ່ງອາລາກົງ	キャサリン・オブ・アラゴン
ໝາກເຜັດ	唐辛子
ບິກ	ペン
ໝາກກ້າຍ	プランテン
ທືນສັບພະຍາກອນມະນຸດ	ヒューマン・キャピタル
ການສະໜອງ ແລະ ຄວາມຕ້ອງການ	需要と供給
ຊອດໄຂ່ແດງ	マヨネーズ
ENIAC	ENIAC
ຊຸດຈຳນວນ	級数
ພັດທະຍາ	パッタヤー
ດອກເບ້ຍ	利子
ຫຸ່ນຍົນສາດ	ロボット工学
Boeing AH-64 Apache	AH-64 アパッチ
ອຸປະຕິເຫດ	事故
ຢາງລຶບ	消しゴム
ເຂື່ອນຮູເວີ	フーバーダム
ນູເມລິກ	デジタル
ລະບົບມາດຕະຖານຄຳ	金本位制
Sukhoi Su-27	Su-27 (航空機)
ການບັນເທີງ	エンターテインメント
កាំ	半径
ມະຫາວິຫານແຊັງໂປນ	セント・ポール大聖堂
ຍິວວິທະຍາໄລຂອງເຢຣູຊາເລັມ	ヘブライ大学
ມະຫາວິທະຍາໄລແຄລິຟໍເນຍ ລອດແອນເຈລິດ	カリフォルニア大学ロサンゼルス校
ຊັງຕີແມັດ	センチメートル
ມິລີແມັດ	ミリメートル
ມິໂກຣແມັດ	マイクロメートル
ລາຍຊື່ປະເທດຮຽງຕາມຄວາມໜ້າແໜ້ນຂອງປະຊາກອນ	国の人口密度順リスト
ເສດຖະກິດຕົກຕໍ່າ	景気後退
ເມນເຟຣມ	メインフレーム
ບໍ່ນ້ຳຮ້ອນ	熱水泉
ເນັຕບຸກ	ネットブック
ນະໂຍບາຍເງິນຕາ	金融政策
ນາໂນແມັດ	ナノメートル
ການຄ້າສາກົນ	貿易
ຈອຍສະຕິກ	ジョイスティック
ເທວະດາ	神性
ລົດໂຮງໝໍ	救急車
ຈັງຫວັດພູເກັດ	プーケット県
ເສັ້ນສະແດງ	グラフ (関数)
ສູດເຮລົງ	ヘロンの公式
ບັນທັດຖານວັດແທກ ລາຍໄດ້ ແລະ ຜົນຜະລິດ ແຫ່ງຊາດ	国民総生産
ຕົ້ນທຶນໂອກາດ	機会費用
ວົງເຫງັນ	ジャコウネコ科
ນະໂຍບາຍການເງິນ	財政政策
ເຄື່ອງໝາຍຊາດຂອງໄທ	タイの国章
ຕຳລາເສັ້ນຊື່	一次関数
ປະຊາທິປະໄຕແບບມີຜູ້ແທນ	間接民主制
ທະນາຄານພັດທະນາອາຊີ	アジア開発銀行
ເນີຍແຂງລົກຟອກ	ロックフォール (チーズ)
ການຂະຫຍາຍໂຕທາງເສດຖະກິດ	経済成長
ເມືອງຫຼວງພະບາງ	ルアンパバーン郡
ສົມເດັດພະລາຊາທິບະດີເຟລີເປທີ 6 ແຫ່ງແອສະປາຍ	フェリペ6世 (スペイン王)
ວັນນະຍຸດ	声調
ນ້ຳເຕົ້າຮູ້	豆乳
ການຊົມໃຊ້	消費
ປິໂກແມັດ	ピコメートル
ເພດສຶກສາ	性教育
ການຕ່ຳ	織り
ກະຊວງ	省
ວັດຖຸດິບ	原材料
ຄອມພິວເຕີຣ໌ຈໍາລອງ	仮想機械
ຈອງ	お玉杓子
ລົດພະລັງງານໄຟຟ້າ	電気自動車
ຫີນະຍານ	小乗
Dassault Mirage 2000	ミラージュ2000 (戦闘機)
ເງີນກີບລາວ	キープ (通貨)
ເດຊີແມັດ	デシメートル
ຄວາມຮັ່ງມີ	富
ເຄື່ອງໝາຍຊາດລາວ	ラオスの国章
ພະຍາດໄລມ	ライム病
ທໍ	Tor
ໂທລະພາບແບບດິຈິຕໍລ໌	デジタルテレビ放送
ຕານ ສ່ວຍ	タン・シュエ
ຮູບເງົາກາຕູນ	アニメーション映画
ປະໂລແວງ	プロヴァン
ຕຳລາຂັ້ນສາມ	三次関数
Sukhoi Su-30	Su-30 (航空機)
ໂວນຟຣາມອານຟາ	Wolfram Alpha
ຈັງຫວັດຊົນບຸລີ	チョンブリー県
ສິລະປະປະຍຸກ	応用美術
ແວງກາແບກເນໂຊວີຍົງ	カベルネ・ソーヴィニヨン
‍ໃບອະນຸຍາດຂອງຊອຟຕ໌ແວຣ໌	ソフトウェアライセンス
ເພງຊາດໄທ	タイの国歌
ອາຊີອາຕິກ	モンゴロイド
กงสุล	領事
ລົດອັກຄີໄຟ	消防車
ເຟັມໂຕແມັດ	フェムトメートル
ການທົດສອບສົມມຸດຕິຖານສະຖິຕິ	仮説検定
ປັດໃຈການຜະລິດ	生産要素
ສຸລິຍະຄະຕິ	太陽暦
ລັດຖະບານເອເລັກໂຕຣນິກ	電子政府
ວາຈົກ	態
ຜູ້ຊົມ	観客
ແບບຈຳລອງ IS/LM	IS-LM分析
ຟຣີແລນເຊີຣ	フリーランス
ຄວາມໄດ້ປຽບທຽບຖານ	比較優位
ພຣະໄຕຣປິດົກ	パーリ語経典
ຄະລາວາດນິຍົມ	世俗主義
ນັກໂທດການເມືອງ	政治犯
ສະໜາມບິນສາກົນວັດໄຕ	ワットタイ国際空港
າເປັນ	アングン
ຄວາມຍືດຍຸ່ນ	弾力性
ຂະບວນການຄືນສູ່ເຢລູຊາເລມ	バック・トゥー・エルサレム
ຂົວມິດຕະພາບ ລາວ-ໄທ ແຫ່ງທີສອງ	第2タイ＝ラオス友好橋
ຈັງຫວັດຊຽງໃໝ່	チエンマイ県
ໂດລາເອມອນ	ドラえもん
ຈັງຫວັດສົງຂາ	ソンクラー県
ຊາຍບອກ	サイボーグ
ຈັງຫວັດສະຕູນ	サトゥーン県
ອັກສອນໄທ	タイ文字
ຈັງຫວັດຊຽງຮາຍ	チエンラーイ県
ຈັງຫວັດກະບີ່	クラビー県
ຈັງຫວັດປັດຕານີ	パッターニー県
ຈັງຫວັດລະນອງ	ラノーン県
T-80	T-80
ຈັງຫວັດພິຈິດ	ピチット県
ຈັງຫວັດນະຄອນສະຫວັນ	ナコーンサワン県
ຈັງຫວັດສຸລາດທານີ	スラートターニー県
ຈັງຫວັດລຳປາງ	ラムパーン県
ຈັງຫວັດເພັດຊະບູນ	ペッチャブーン県
ຈັງຫວັດລຳພູນ	ラムプーン県
ຈັງຫວັດຕາດ	トラート県
ຈັງຫວັດນົນທະບຸລີ	ノンタブリー県
ຈັງຫວັດຍະລາ	ヤラー県
ປະທານປະເທດ ແຫ່ງ ສປປ ລາວ	内閣総理大臣の一覧
ໃບລາຍງານຜົນໄດ້ຮັບ	損益計算書
ຈັງຫວັດອຳນາດຈະເລີນ	アムナートチャルーン県
ຈັງຫວັດອ່າງທອງ	アーントーン県
ຈັງຫວັດຕັງ	トラン県
ຈັງຫວັດພັດທະລຸງ	パッタルン県
ຈັງຫວັດພະເຍົາ	パヤオ県
ຈັງຫວັດປະຈວບຄີລີຂັນ	プラチュワップキーリーカン県
ຈັງຫວັດອຸໄທທານີ	ウタイターニー県
ຈັງຫວັດແພ່	プレー県
ຈັງຫວັດນະຄອນສີທຳມະລາດ	ナコーンシータンマラート県
ຈັງຫວັດຊຸມພອນ	チュムポーン県
ຈັງຫວັດນ່ານ	ナーン県
ຈັງຫວັດເພັດຊະບຸລີ	ペッチャブリー県
ຄຳນາມປະສົມ	複合語
ອ໋າວຢາຍ	アオザイ
ທາທາ ຢັງ	タタ・ヤン
ໂທລະພາບແບບອະນາລ໊ອກ	アナログ放送
ລາຍຊື່ປະເທດລຽງຕາມພື້ນທີ່	国の面積順リスト
ຈັງຫວັດໜອງບົວລຳພູ	ノーンブワラムプー県
ການເກີນທາງດ້ານເສດຖະກິດ	社会的余剰
ຈັງຫວັດແມ່ຮ່ອງສອນ	メーホンソーン県
ລັດວິສາຫະກິດ	国有企業
ຈັງຫວັດນະລາທິວາດ	ナラーティワート県
ຈັງຫວັດສະໝຸດປາການ	サムットプラーカーン県
ຈັງຫວັດນະຄອນລາຊະສີມາ	ナコーンラーチャシーマー県
ຈັງຫວັດສຸພັນບຸລີ	スパンブリー県
ຈັງຫວັດພັງງາ	パンガー県
ປາຂ່າ(ໂລມາອີຣະວະດີ)	カワゴンドウ
ແລປົງ	ラプンツェル
ຈັງຫວັດອຸຕະລະດິດ	ウッタラディット県
ຈັງຫວັດກຳແພງເພັດ	カムペーンペット県
Externality	外部性
ຈັງຫວັດໄຊຍະພູມ	チャイヤプーム県
ຈັງຫວັດເລີຍ	ルーイ県
ຈັງຫວັດການຈະນະບຸລີ	カーンチャナブリー県
ຈັງຫວັດຕາກ	ターク県
ຈັງຫວັດພິສະນຸໂລກ	ピッサヌローク県
ດຸນຍະພາບທົ່ວໄປ	一般均衡
ບໍລິການລົດເຊົ່າ	レンタカー
AIDC F-CK-1 Ching-kuo	F-CK-1 (航空機)
ເສດຖະວັດຖຸສາດ	経済物理学
ຂົວເອີລັນ	エーランド橋
ເກໂກລີ ເລີມາກຊານ	グレゴリー・ルマルシャル
ແຂວງສາລະວັນ	サーラワン県
ກ້ອງຖ່າຍວິດີໂອ	ビデオカメラ
ຄັງສຳຮອງເງິນຕາຕ່າງປະເທດ	外貨準備
ຜູ້ໂດຍສານ	旅客
ສົມເດັດພະເຈົ້າກຸງທົນບຸລີ	タークシン
ໄກສອນ ພົມວິຫານ	カイソーン・ポムウィハーン
ສຸພານຸວົງ	スパーヌウォン
ຈັງຫວັດປາຈີນບຸລີ	プラーチーンブリー県
ອຳນາດບໍລິຫານ	官庁
ຈັງຫວັດບຸລີລຳ	ブリーラム県
ຈັງຫວັດຂອນແກ່ນ	コーンケン県
ຈັງຫວັດຈັນທະບຸລີ	チャンタブリー県
ຈັງຫວັດໜອງຄາຍ	ノーンカーイ県
ຈັງຫວັດສະໝຸດສາຄອນ	サムットサーコーン県
ຈັງຫວັດສິງບຸລີ	シンブリー県
ຈັງຫວັດນະຄອນປະຖົມ	ナコーンパトム県
ແຂວງຜົ້ງສາລີ	ポンサーリー県
ແຂວງບໍ່ແກ້ວ	ボーケーオ県
ແຂວງຈໍາປາສັກ	チャンパーサック県
ຈັງຫວັດສະເຊີງເຊົາ	チャチューンサオ県
ຈັງຫວັດມຸກດາຫານ	ムックダーハーン県
ຈັງຫວັດລະຍອງ	ラヨーン県
ຈັງຫວັດລາຊະບຸລີ	ラーチャブリー県
ຈັງຫວັດລົບບຸລີ	ロッブリー県
ຈັງຫວັດສະລະບຸລີ	サラブリー県
ບັນຊີແຫ່ງຊາດ	国民経済計算
ອາຍແກັສແຫຼວ	液化石油ガス
ສະຫະພາບໂທລະຄົມມະນາຄົມ	国際電気通信連合
ເຈົ້າມະຫາຊີວິດສີສະຫວ່າງວົງ	シーサワーンウォン
ເຈົ້າສີສະຫວ່າງວັດທະນາ	サワーンワッタナー
ໜູຮັກ ພູມສະຫວັນ	ヌーハック・プームサワン
ຈັງຫວັດອຸດອນທານີ	ウドーンターニー県
ຈັງຫວັດສຸລິນ	スリン県
ຈັງຫວັດສີສະເກດ	シーサケート県
ຈັງຫວັດສຸໂຂໄທ	スコータイ県
ຈັງຫວັດສະແກ້ວ	サケーオ県
ຈັງຫວັດສະກົນນະຄອນ	サコンナコーン県
ຈັງຫວັດກາລະສິນ	カーラシン県
ເມືອງປາກເຊ	パークセー郡
ລາວ (ຊົນເຜົ່າ)	ラーオ族
ມີແຊນ ຟານ	ミシェル・ファン
ເສດຖະສາດຕົວເມືອງ	都市経済学
ການກໍ່ສ້າງ	建設
ນະຄອນຫຼວງວຽງຈັນ	ヴィエンチャン都
ແອຣ໌ເອເຊຍ	エアアジア
ສົມເດັດພະສັນຕະປາປາຟຣັງຊົວ	フランシスコ (ローマ教皇)
ຈັງຫວັດສະໝຸດສົງຄາມ	サムットソンクラーム県
ຈັງຫວັດປະທຸມທານີ	パトゥムターニー県
ຈັງຫວັດໄຊນາດ	チャイナート県
ໜີ້ຕ່າງປະເທດ	対外債務
ແຂວງໄຊຍະບູລີ	サイニャブーリー県
ໝາກຂີ້ຫູດ	コブミカン
ແຂວງສະຫວັນນະເຂດ	サワンナケート県
ແຂວງຊຽງຂວາງ	シエンクワーン県
ແຂວງອຸດົມໄຊ	ウドムサイ県
ຈັງຫວັດນະຄອນນາຍົກ	ナコーンナーヨック県
ສົມເດັດພະເຈົ້າພີ່ນາງເທີ ເຈົ້າຟ້າກັນລະຍານິວັດທະນາ	ナラーティワートラーチャナカリン
ເສັ້ນໂຄ້ງບໍ່ຈຳແນກ	無差別曲線
ຈັງຫວັດນະຄອນພະນົມ	ナコーンパノム県
ຈັງຫວັດມະຫາສາລະຄາມ	マハーサーラカーム県
ທ່ານ ບຸນຍັງ ວໍລະຈິດ	ブンニャン・ウォーラチット
ພະເຈົ້າບຸເຣງນອງ	バインナウン
ອຳເພີ	アムプー
ອຳເພີເມືອງຊົນບຸລີ	ムアンチョンブリー郡
ຈັງຫວັດພະນະຄອນສີອະຍຸທະຍາ	アユタヤ県
ຕຳລາຂັ້ນສີ່	四次方程式
ສະໜາມບິນສາກົນເຕິນເຊິນເຍິດ	タンソンニャット国際空港
KAI T-50 Golden Eagle	T-50 (航空機)
ປ່ອງຢ້ຽມປີ 2000	Microsoft Windows 2000
ການຈັດການລູກຄ້າສໍາພັນ	顧客関係管理
Sukhoi Superjet 100	スホーイ・スーパージェット100
7 ສິ່ງມະຫັດສະຈັນ	世界の七不思議
ໂສມງາມກັບເຈົ້າຊາຍອະສູນ	美女と野獣
ແຂວງຫົວພັນ	フアパン県
ແຂວງອັດຕະປື	アッタプー県
ອົງການ ຄວບຄຸມໄພສຸກເສີນລັດຖະບານກາງ	アメリカ合衆国連邦緊急事態管理庁
ຈັງຫວັດຍະໂສທອນ	ヤソートーン県
ແຂວງຄຳມ່ວນ	カムムアン県
ຕຳລາການຜະລິດ	生産関数
ມະຫາວິທະຍາໄລແຫ່ງຊາດລາວ	ラオス国立大学
ມາລິໂອ້ ເມົາເລີ້	マリオ・マウラー
ຄຳເມືອງ	北タイ語
ຜາສາດຫີນວັດພູ	プラーサート・ワット・プー
ຂົວມິດຕະພາບລາວ - ໄທ ແຫ່ງທີ 4	第4タイ・ラオス友好橋
ແຂວງເຊກອງ	セーコーン県
ການຄ້າ	取引
ຈຳນວນອະປົກກະຕິ	無理数
ຈຳປາສັກ	チャンパーサック
ຄວາມລົ້ມເຫຼວຂອງຕະຫຼາດ	市場の失敗
ກາເຟອຽກລັງ	アイリッシュ・コーヒー
ເພງຊາດລາວ	ラオスの国歌
ໜູຖົງຊາຍ	ワラビー
ສວນຄົວ	家庭菜園
ຈັງຫວັດຮ້ອຍເອັດ	ローイエット県
ໝັງກາຕູນ	カートゥーン
ຈັກຂັ້ນ	階差機関
ຈັງຫວັດອຸບົນລາຊະທານີ	ウボンラーチャターニー県
ການແລກປ່ຽນ	トレードオフ
ກູແຊກ	グジェール
ເມືອງຫຼວງນໍ້າທາ	ルアンナムター郡
ເອັນຣິໂຄ ເລັດຕາ	エンリコ・レッタ
Squadron (ການບິນ)	飛行隊
Pilatus PC-7	ピラタス PC-7
ລາຍຊື່ປະເທດຮຽງຕາມຈຳນວນປະຊາກອນ	国の人口順リスト
7 ສິ່່ງມະຫັດສະຈັນຂອງໂລກ	新・世界七不思議
ຄຳຂວັນປະຈຳຊາດ	国と地域の標語の一覧
ເສັ້ນເຂົ້າປຸ້ນ	ビーフン
ຫ້ວຍຊາຍ	フアイサーイ郡
ແຂວງວຽງຈັນ	ヴィエンチャン県
ໄຮ້ເພດ	無性愛
ກອງປະຊຸມອາເຊັມ	アジア欧州会合
ໂຈດຊິງລາງວັນມິເລນຽມ	ミレニアム懸賞問題
ການຜະລິດ, ຕົ້ນທຶນ ແລະ ລາຄາ	生産
ໂຜນ ກິ່ງເພດ	ポーン・キングピッチ
ວັນ ລະຫວ່ງປະເທດ ຜູ້ໄຊ້ ມືຂ້າຍ	左利きの日
ໄທໃຫຍ່	シャン族
ເນີຍແຂງຟ້າແກ່	ブルーチーズ
ເສດຖະຄະນິດສາດ	数理経済学
ແຂວງຫຼວງພະບາງ	ルアンパバーン県
ເມືອງໄກສອນ ພົມວິຫານ	カイソーン・ポムウィハーン郡
ການບິນອະວະກາດ	有人宇宙飛行
ການບິນລາວ	ラオス国営航空
ພັກປະຊາຊົນປະຕິວັດລາວ	ラオス人民革命党
ອາຊີໃຕ້	南アジア
ສະໜາມບິນສາກົນເຫຼ້າສຸດ	ダナン国際空港
Harvard Mark I	Harvard Mark I
ນາຍົກລັດຖະມົນຕີ ແຫ່ງ ສປປ ລາວ	ラオス人民民主共和国首相
BM-30 Smerch	BM-30
ສະຖານນີທ່ານາແລ້ງ	ターナレーン駅
ສາມຫຼ່ຽມຄຳ	黄金の三角地帯
ຄວາມຈຳກັດ	希少性
ເຂົ້າຈີ່ປາເຕ້	パテ (料理)
ກິໂລແມັດ	キロメートル
ລົດມ້າ	馬車鉄道
ທິດສະດີຜູ້ຊົມໃຊ້	消費者行動分析
ດຸນຍະພາບເສດຖະກິດ	均衡
Halo effect	ハロー効果
ອານາຈັກອະຍຸທະຍາ	アユタヤ王朝
ຄອມພິວເຕີຣ໌ນ້ອຍຕໍ່ເດັກນ້ອຍຫນຶ່ງຄົນ	OLPC
ປະລິມານເງິນ	マネーサプライ
ຜົນປະໂຫຍດຂອບເຂດ (ເສດຖະສາດ)	限界効用
ເຮັກໂຕແມັດ	ヘクトメートル
McDonnell Douglas F-15E Strike Eagle	F-15E (航空機)
ເຂດພິເສດໄຊສົມບູນ	サイソムブーン県
ເດກາແມັດ	デカメートル
ເສດຖະສາດສະຫວັດດີການ	厚生経済学
ອານາຈັກລ້ານຊ້າງ	ラーンサーン王朝
VietJet Air	ベトジェットエア
ກິກາແມັດ	ギガメートル
ຮູບສອງແຈ	二角形
ຈຸລາລົງກອນມະຫາວິທະຍາໄລ	チュラーロンコーン大学
ອານາຈັກສຸໂຂໄທ	スコータイ王朝
ມະຫາວິທະຍາໄລລັດ	公立大学
ຊີເກມສ໌	東南アジア競技大会
ພູພຽງບໍລະເວນ	ボーラウェン高原
ຊ່ວຍເຫຼືອ:ເນື້ອໃນ	Help:目次
ຂົວມິດຕະພາບ ລາວ-ໄທ ແຫ່ງທຳອິດ	タイ＝ラオス友好橋
List of ISO 639-1 codes	ISO 639-1コード一覧
AgustaWestland Apache	WAH-64 アパッチ
ຊຸດໂຣບົດ	パワードスーツ
ແຂວງຫຼວງນໍ້າທາ	ルアンナムター県
ບ່ອນຈອດລົດເມ	バス停留所
ເຈົ້າຟ້າຊາຍມົງກຸດລາຊະກຸມານວົງສະຫວ່າງ	ウォンサワーン
ດູ່	カリン (マメ科)
ເຂົາຊາຍ ແກແລັກຊີ້	カオサイ・ギャラクシー
ເຄື່ອງເຮັດເຂົ້າຈີ່	ホームベーカリー
ຈັງຫວັດບຶງການ	ブンカーン県
ບຸນບັ້ງໄຟ	ロケット祭り (東南アジア)
ວັງວຽງ	ヴァンヴィエン
ທ່າແຂກ	ターケーク郡
ລົດຮັບສົ່ງເດີ່ນຍົນ	リムジンバス
ຮັກຕ່າງເພດ	異性愛
ສີລ	戒
ຕົ້ມຍຳ	トムヤムクン
ເມກາແມັດ	メガメートル
ក	クメール文字
ອານາຈັກລ້ານນາ	ラーンナー
ພະທາດຫຼວງ	タート・ルアン
ຮູບໜຶ່ງແຈ	一角形
ກິເລດ	煩悩
ຕຳບົນ	タムボン
ສະໜາມບິນສາກົນຫຼວງພະບາງ	ルアンパバーン国際空港
ເສືອແຂ້ວດາບ	剣歯虎
ອານາຈັກທົນບຸລີ	トンブリー王朝
ການວິໄຈການຕະຫລາດ	マーケティングリサーチ
ຫຼັກເກນ ເຮັກເຊີ=ໂອລີນ	ヘクシャー＝オリーンの定理
ການນັ່ງ	座法
ມະຫາວິທະຍາໄລພາສາຕ່າງປະເທດປັກກິ່ງ	北京外国語大学
ໂດລາເອມອນ (ໂຕລະຄອນ)	ドラえもん (架空のキャラクター)
ສະພາແຫ່ງຊາດ	国民議会 (ラオス)
ພິດຕີ້ຄຽວ	プリキュアシリーズ
ອັດຕາດອກເບ້ຍທະນາຄານກາງ	政策金利
ເໝ້ນ	ヤマアラシ
ໂຣບົດທະຫານ	軍事用ロボット
ຈຳນວນປົກກະຕິ	有理数
ເດີ່ນຍົນ	空港
ຂົວມິດຕະພາບລາວ-ໄທ ແຫ່ງທີ 3	第3タイ・ラオス友好橋
ລະບອບການປົກຄອງ	政治体制
ອັກສອນທໍາລ້ານນາ	ラーンナー文字
ເມືອງ	ムアン
ພຣະໄຕປິດົກ	三蔵
El Chavo del 8	エル・チャボ・デル・オチョ
ຕຳໝາກຫຸ່ງ	ソムタム
ທົງໄຊ ແມກອິນໄຕ	トンチャイ・メーキンタイ
ກີ່ຄິດໄລ່ Jacquard	ジャカード織機
ອາຫານລາວ	ラオス料理
ເນື້ອທີ່ໜ້າພຽງ	表面積
ໝວດ:ປະເທດເຢັຽລະມັນ	Category:ドイツ
ໝວດ:ສະຫະລັດອາເມລິກາ	Category:アメリカ合衆国
ໝວດ:ປະເທດການາດາ	Category:カナダ
ໝວດ:ສະຫະລາຊະອານາຈັກ	Category:イギリス
ໝວດ:ປະເທດແອສະປາຍ	Category:スペイン
ໝວດ:ປະເທດຍີ່ປຸ່ນ	Category:日本
ຈຸດແລກປ່ຽນທາງອິນເຕີຣ໌ເນັຕ	インターネットエクスチェンジ
ເສດຖະປະຫວັດສາດ	数量経済史
ປະຕູໄຊ	アヌサーワリー・パトゥーサイ
ໝວດ:ປະເທດເກົາຫຼີໃຕ້	Category:大韓民国
ໝວດ:ປະເທດໄທ	Category:タイ王国
ໝວດ:ປະເທດຫວຽດນາມ	Category:ベトナム
ໝວດ:ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ	Category:哺乳類
ໝວດ:ພືດ	Category:植物
ໝວດ:ວັດຖຸວິທະຍາ	Category:物理学
ໝວດ:ຊີວະສາດ	Category:生物学
ໝວດ:ປະຫວັດສາດ	Category:歴史
ໝວດ:ພູມສາດ	Category:地理
ໝວດ:ສັງຄົມ	Category:社会
ໝວດ:ສາສະໜາ	Category:宗教
ໝວດ:ກິລາ	Category:スポーツ
ໝວດ:ສາດ	Category:科学
ໝວດ:ສະຫະປະຊາຊາດ	Category:国際連合
ໝວດ:ຮູບເງົາ	Category:映画
ໝວດ:ມໍລະດົກໂລກ	Category:世界遺産
ໝວດ:ໂລກ	Category:地球
ໝວດ:ຂໍ້ມູນຂ່າວສານ	Category:情報
ລາຍໄດ້	収入
ໂມເດລຄວາມດຶງດູດການຄ້າ	貿易における重力モデル
Airbus A318	エアバスA318
ອັກສອນລາວ	ラーオ文字
ໝວດ:ນິເວດສາດ	Category:生態学
ຊາດຊາຍ ຊ່ຽວນ້ອຍ	チャチャイ・チオノイ
ໝວດ:ພຸດທະສາສະໜາ	Category:仏教
ໝວດ:ຄຣິສຕະສາດສະໜາ	Category:キリスト教
ໝວດ:ສາສະໜາອິສະລາມ	Category:イスラム教
ລວມຕຳລາຄະນິດສາດ	関数一覧
ການຂາຍເມຍໃນປະເທດອັງກິດ	妻売り
ໂຮງຮຽນອະຍຸດທະຍາວິທະຍາໄລ	アユタヤウィッタヤーライ学校
ໂພຊະນາການ	栄養
ດັດຊະນີ (ເສດຖະກິດ)	指数 (経済)
ແຂວງບໍລິຄຳໄຊ	ボーリカムサイ県
ສິນຄ້າ (ທຸລະກິດ)	商品
ລັດອິດສະລາມອີຣັກແລະເຣເວນທ໌	ISIL
ການຄົມມະນາຄົມໃນປະເທດລາວ	ラオスの交通
ພະມະຫາກະສັດໄທ	タイの国王
ປາກແບ່ງ	パークベン
ວັດຊຽງທອງ	ワット・シエントーン
ເຈົ້າຊາຍ ສຸລິວົງ ສະຫວ່າງ	スリウォンサワーン
ປຸຖຸຊົນ	結 (仏教)
ການຈັດການ	経営管理論
ໝວດ:ວັດທະນະທຳ	Category:文化
ໝວດ:ຄວາມຮູ້	Category:知識
ໝວດ:ທະວີບ	Category:大陸
ໝວດ:ທໍລະນີສາດ	Category:地質学
ໝວດ:ພາສາ: ເຮືອບິນ	Category:航空機
ຮູດີສ	フーシ
ລາບ	ラープ (料理)
ລະດູຝົນ	雨季
ເບຍລາວ	ビア・ラオ
ບັນຫາການເຮັດໃຫ້ເກີດຜົນປະໂຫຍດສູງສຸດ	効用最大化
ສິ້ນ	シン (民族衣装)
ວົງຍ່ອຍສິງທະເລ	アシカ
ໝວດ:ນັກສະແດງ	Category:俳優
ແມ່ແບບ:Tl	Template:Tl
ແມ່ແບບ:Wikipedialang	Template:メインページ/他言語版
ໝວດ:ປະເທດ	Category:国
ໝວດ:ເສດຖະສາດ	Category:経済学
ວິກິພີເດຍ:ຜູ້ບໍລິຫານ	Wikipedia:管理者
ໝວດ:ອາຊີບ	Category:職業
ໝວດ:ເວລາ	Category:時間
ໝວດ:ທຳມະຊາດ	Category:自然
ໝວດ:ອິນເຕີເນັດ	Category:インターネット
ໝວດ:ວັດສະດຸ	Category:材料
ໝວດ:ແພດສາດ	Category:医学
ໝວດ:ການເມືອງ	Category:政治
ໝວດ:ການສຶກສາ	Category:教育
ໝວດ:ສິລະປະ	Category:芸術
ໝວດ:ຊອຟແວ	Category:ソフトウェア
ແມ່ແບບ:Bot	Template:Bot
ປະເທດການາດາ	カナダ
ສະຖານີໂທລະພາບແຫ່ງຊາດລາວ	ラオス国営テレビ
ໝວດ:ບົດຄວາມດີເດັ່ນ	Category:秀逸な記事
ເກມຄອມພິວເຕີ	パソコンゲーム
ແມ່ແບບ:Flagicon	Template:Flagicon
ໝວດ:ເອີລົບ	Category:ヨーロッパ
ແມ່ແບບ:ຄູ່ມືການໃຊ້ງານ	Template:Documentation
ໝວດ:ຜູ້ໃຊ້ແບ່ງຕາມພາສາ	Category:言語別の利用者
ວິກິພີເດຍ:ຫ້າຫຼັກການ	Wikipedia:五本の柱
ໝວດ:ແນວປະຕິບັດວິກິພີເດຍ	Category:ウィキペディアのガイドライン
ວິກິພີເດຍ:ກ່ອງຜູ້ໃຊ້	Wikipedia:ユーザーボックス
ຊໂງ ໃຈ-ກກິ	成在基
ທຸລະກິດ	企業
ແມ່ແບບ:Softredirect	Template:Softredirect
ແມ່ແບບ:ລຶບ	Template:即時削除
ໝວດ:ພາສາ: ເຕັກໂນໂລຊີ	Category:技術
ໝວດ:ພັນທຸສາດ	Category:遺伝学
ໝວດ:ພາສາ	Category:諸言語
ໝວດ:ໄວຍາກອນ	Category:文法
ໝວດ:ປະຕິທິນ	Category:暦法
ໝວດ:ວິກິພີເດຍ	Category:ウィキペディア
